Cup, 57, False, True, Cup, 1, 
World, 55, False, True, World, 1, 
U.S., 51, True, True, U ##. ##S ##., 4, 
Germany, 50, False, True, Germany, 1, 
Australia, 45, False, True, Australia, 1, 
United, 42, False, True, United, 1, 
Japan, 42, False, True, Japan, 1, 
Italy, 42, False, True, Italy, 1, 
France, 40, False, True, France, 1, 
NEW, 37, True, True, NE ##W, 2, 
New, 37, False, True, New, 1, 
China, 36, False, True, China, 1, 
of, 36, False, True, of, 1, 
Indonesia, 34, False, True, Indonesia, 1, 
Russia, 34, False, True, Russia, 1, 
LONDON, 31, True, True, L ##ON ##D ##ON, 4, 
Austria, 31, False, True, Austria, 1, 
South, 27, False, True, South, 1, 
Canada, 26, False, True, Canada, 1, 
National, 25, False, True, National, 1, 
Barcelona, 24, False, True, Barcelona, 1, 
West, 23, False, True, West, 1, 
Real, 23, False, True, Real, 1, 
Singapore, 23, False, True, Singapore, 1, 
Madrid, 22, False, True, Madrid, 1, 
YORK, 22, True, True, Y ##OR ##K, 3, 
England, 21, False, True, England, 1, 
European, 21, False, True, European, 1, 
York, 21, False, True, York, 1, 
Santa, 21, False, True, Santa, 1, 
CUP, 20, True, True, C ##UP, 2, 
London, 20, False, True, London, 1, 
Poland, 20, False, True, Poland, 1, 
Switzerland, 20, False, True, Switzerland, 1, 
Fe, 20, False, False, Fe, 1, 
Indies, 19, False, True, Indies, 1, 
Reuters, 19, False, True, Re ##uters, 2, 
WTO, 19, True, False, W ##TO, 2, 
Norway, 18, False, True, Norway, 1, 
Spain, 18, False, True, Spain, 1, 
British, 18, False, True, British, 1, 
States, 17, False, True, States, 1, 
League, 16, False, True, League, 1, 
Czech, 16, False, True, Czech, 1, 
Newsroom, 16, False, True, News ##room, 2, 
Mexico, 16, False, True, Mexico, 1, 
Norilsk, 16, False, False, Nor ##ils ##k, 3, 
Hapoel, 16, False, True, Hapoel, 1, 
Israel, 15, False, True, Israel, 1, 
David, 15, False, True, David, 1, 
Ireland, 15, False, True, Ireland, 1, 
German, 15, False, True, German, 1, 
USDA, 15, True, True, USD ##A, 2, 
Newmont, 15, False, False, New ##mont, 2, 
Bre-X, 15, False, False, B ##re ##- ##X, 4, 
Australian, 14, False, True, Australian, 1, 
Lara, 14, False, True, Lara, 1, 
French, 14, False, True, French, 1, 
India, 14, False, True, India, 1, 
American, 14, False, True, American, 1, 
Polish, 14, False, True, Polish, 1, 
U.N., 14, True, True, U ##. ##N ##., 4, 
Syria, 13, False, True, Syria, 1, 
Korea, 13, False, True, Korea, 1, 
Italian, 13, False, True, Italian, 1, 
African, 13, False, True, African, 1, 
Brazil, 13, False, True, Brazil, 1, 
WORLD, 13, True, True, W ##OR ##LD, 3, 
CHICAGO, 13, True, True, CH ##IC ##AG ##O, 4, 
and, 13, False, True, and, 1, 
Zimbabwe, 12, False, True, Zimbabwe, 1, 
WASHINGTON, 12, True, True, WA ##S ##H ##ING ##TO ##N, 6, 
NY, 12, True, False, NY, 1, 
Albright, 12, False, False, Al ##bright, 2, 
